created_at,sportsbook,sport,league,event_name,event_start_date,market_name,bet_name,odds,clv,stake,potential_payout,status,bet_type,bet_profit,notes,is_live_bet,is_free_bet,is_odds_boost,percentage,market_width,saved_filter_name,parlay_id
"01/23/2023, 01:25 EST",BetMGM,hockey,NHL,Buffalo Sabres vs Dallas Stars,"01/23/2023, 20:30 EST",Total Goals,Over 7,150,133,15,37.5,lost,positive_ev,-15,,FALSE,FALSE,FALSE,2.56,,,
"01/23/2023, 11:35 EST",Barstool,football,NFL,Cincinnati Bengals vs Kansas City Chiefs,"01/29/2023, 18:30 EST",1st Quarter Total Points,Under 9.5,105,115,30,61.5,won,positive_ev,31.5,,FALSE,FALSE,FALSE,3.51,,,
"01/23/2023, 11:47 EST",FanDuel,basketball,NBA,San Antonio Spurs vs Portland Trail Blazers,"01/23/2023, 22:00 EST",Player Points,Jusuf Nurkic Over 14.5,105,110,12,24.6,won,positive_ev,12.6,,FALSE,FALSE,FALSE,1.68,,,
"01/23/2023, 12:00 EST",WynnBET,basketball,NCAAB,Coppin State vs Howard,"01/23/2023, 19:30 EST",1st Half Total Points,Over 73.5,-110,-115,22,42,won,positive_ev,20,,FALSE,FALSE,FALSE,2.09,,,
"01/23/2023, 17:52 EST",BetMGM,basketball,NBA,Memphis Grizzlies vs Sacramento Kings,"01/23/2023, 22:40 EST",1st Half Total Points,Over 120.5,115,109,15,32.25,won,positive_ev,17.25,,FALSE,FALSE,FALSE,3.45,,,
"01/24/2023, 16:32 EST",DraftKings,basketball,NBA,Washington Wizards vs Dallas Mavericks,"01/24/2023, 20:30 EST",Player Points + Rebounds + Assists,Spencer Dinwiddie Under 26.5,140,132,66.59,159.82,lost,arbitrage,-66.59,,FALSE,FALSE,FALSE,2.78,,,
"01/24/2023, 16:32 EST",BetMGM,basketball,NBA,Washington Wizards vs Dallas Mavericks,"01/24/2023, 20:30 EST",Player Points + Rebounds + Assists,Spencer Dinwiddie Over 26.5,-125,-132,88.79,159.82,won,arbitrage,71.03,,FALSE,FALSE,FALSE,2.78,,,
"01/24/2023, 16:35 EST",Unibet,basketball,NBA,Cleveland Cavaliers vs New York Knicks,"01/24/2023, 19:30 EST",Player Assists,RJ Barrett Over 2.5,-118,101,4.95,9.14,lost,arbitrage,-4.95,,FALSE,FALSE,FALSE,0.42,,,
"01/24/2023, 16:35 EST",PointsBet (Indiana),basketball,NBA,Cleveland Cavaliers vs New York Knicks,"01/24/2023, 19:30 EST",Player Assists,RJ Barrett Under 2.5,120,-101,4.16,9.15,won,arbitrage,4.99,,FALSE,FALSE,FALSE,0.42,,,
"01/24/2023, 16:35 EST",DraftKings,basketball,NBA,Los Angeles Clippers vs Los Angeles Lakers,"01/24/2023, 22:00 EST",Player Double Double,Russell Westbrook Under 0.5,-190,-178,2.46,3.75,pending,arbitrage,0,,FALSE,FALSE,FALSE,1.15,,,
"01/24/2023, 16:35 EST",PointsBet (Indiana),basketball,NBA,Los Angeles Clippers vs Los Angeles Lakers,"01/24/2023, 22:00 EST",Player Double Double,Russell Westbrook Over 0.5,200,210,1.25,3.75,pending,arbitrage,0,,FALSE,FALSE,FALSE,1.15,,,
"01/24/2023, 23:50 EST",DraftKings,basketball,NBA,Atlanta Hawks vs Oklahoma City Thunder,"01/25/2023, 20:00 EST",Player Double Double,Dejounte Murray Under 0.5,-270,-283,2.17,2.97,pending,arbitrage,0,,FALSE,FALSE,FALSE,4.8,,,
"01/24/2023, 23:50 EST",PointsBet (Indiana),basketball,NBA,Atlanta Hawks vs Oklahoma City Thunder,"01/25/2023, 20:00 EST",Player Double Double,Dejounte Murray Over 0.5,350,350,0.66,2.97,pending,arbitrage,0,,FALSE,FALSE,FALSE,4.8,,,
"01/25/2023, 20:26 EST",DraftKings,basketball,NCAAB,Indiana vs Minnesota,"01/25/2023, 21:00 EST",Moneyline,Indiana,-580,-466,191.91,225,won,normal,33.09,,FALSE,FALSE,FALSE,,,,
"01/25/2023, 20:26 EST",Hard Rock,basketball,NCAAB,Indiana vs Minnesota,"01/25/2023, 21:00 EST",Moneyline,Minnesota,480,466,50,240,lost,normal,0,,FALSE,TRUE,FALSE,,,,
"01/25/2023, 21:38 EST",FanDuel,basketball,NBA,Memphis Grizzlies vs Golden State Warriors,"01/25/2023, 22:00 EST",1st Quarter Total Points,Over 63.5,174,190,238.2,652.67,lost,arbitrage,-238.2,,FALSE,FALSE,FALSE,1.24,,,
"01/25/2023, 21:38 EST",BetMGM,basketball,NBA,Memphis Grizzlies vs Golden State Warriors,"01/25/2023, 22:00 EST",1st Quarter Total Points,Under 63.5,-165,-149,406.38,652.67,won,arbitrage,246.29,,FALSE,FALSE,FALSE,1.24,,,
"01/25/2023, 22:29 EST",BetMGM,hockey,NHL,St. Louis Blues vs Arizona Coyotes,"01/26/2023, 21:00 EST",1st Period Total Goals,Over 2,135,136,10,23.5,lost,positive_ev,-10,,FALSE,FALSE,FALSE,2.39,,,
